age,hsged,white,black,hispanic,native,asian,children,married,male,treatment,total_earn
46,1,0,1,0,0,0,0,0,0,1,1353
24,1,1,0,0,0,0,1,0,0,1,4984
19,0,1,0,0,0,0,0,0,1,1,24141
34,1,0,0,1,0,0,1,1,0,1,27707
31,1,1,0,0,0,0,1,0,0,1,31860
20,1,1,0,0,0,0,0,0,1,1,5853
22,1,0,1,0,0,0,0,0,1,1,48541
36,0,1,0,0,0,0,1,1,1,1,3240
41,1,1,0,0,0,0,1,1,0,1,8385
24,0,1,0,0,0,0,1,1,1,1,4036
26,1,1,0,0,0,0,0,0,1,1,16419
16,0,0,0,1,0,0,1,0,0,1,99
27,1,1,0,0,0,0,0,0,0,1,22221
17,0,0,1,0,0,0,0,0,0,1,17149
20,1,0,0,1,0,0,1,0,0,1,23063
35,0,0,0,1,0,0,1,1,0,1,1933
49,0,1,0,0,0,0,0,0,1,0,19541
40,1,1,0,0,0,0,1,1,0,1,25766
23,1,0,1,0,0,0,1,1,1,1,9879
34,0,1,0,0,0,0,0,0,1,0,25199
24,0,1,0,0,0,0,0,0,1,1,5486
22,0,1,0,0,0,0,0,0,0,0,24765
20,1,1,0,0,0,0,0,0,1,0,0
31,0,1,0,0,0,0,0,0,1,1,29780
28,1,1,0,0,0,0,1,1,1,0,18888
39,0,1,0,0,0,0,0,0,1,1,16773
29,1,1,0,0,0,0,1,0,0,1,33390
26,0,1,0,0,0,0,1,0,0,0,12537
17,1,1,0,0,0,0,0,0,1,0,9441
28,1,1,0,0,0,0,1,0,0,0,48254
43,0,1,0,0,0,0,1,1,0,1,0
20,1,1,0,0,0,0,0,0,1,0,13800
27,1,0,1,0,0,0,1,0,1,1,21035
21,1,0,0,1,0,0,0,0,0,1,45675
31,0,0,1,0,0,0,0,0,1,0,1184
33,1,1,0,0,0,0,1,1,0,0,10112
16,0,0,0,1,0,0,0,0,0,1,7446
19,1,0,1,0,0,0,0,0,0,1,12596
29,1,1,0,0,0,0,1,0,0,0,33570
23,0,1,0,0,0,0,0,0,1,0,12301
26,1,1,0,0,0,0,1,1,0,0,27676
29,1,0,1,0,0,0,1,0,0,1,38018
26,0,1,0,0,0,0,1,0,0,1,3366
20,1,1,0,0,0,0,1,1,1,1,5855
41,0,1,0,0,0,0,1,1,1,1,4038
29,0,1,0,0,0,0,1,0,0,0,13892
